run_index,scenario,condition,seed,assignment_round,duration_seconds,warmup_seconds,max_model_decisions,max_model_decisions_per_agent,decision_window_seconds,max_model_decisions_per_window,model_decision_sample_rate
47,high_load_high_acuity,nursta_only,2,1,43200,7200,300,100,7200,100,0.1
48,high_load_high_acuity,both,2,1,43200,7200,300,100,7200,100,0.1
49,normal_load,baseline,2,2,43200,7200,300,100,7200,100,0.1
50,normal_load,cockpit_only,2,2,43200,7200,300,100,7200,100,0.1
51,normal_load,nursta_only,2,2,43200,7200,300,100,7200,100,0.1
52,normal_load,both,2,2,43200,7200,300,100,7200,100,0.1
53,high_load_high_acuity,baseline,2,2,43200,7200,300,100,7200,100,0.1
54,high_load_high_acuity,cockpit_only,2,2,43200,7200,300,100,7200,100,0.1
55,high_load_high_acuity,nursta_only,2,2,43200,7200,300,100,7200,100,0.1
56,high_load_high_acuity,both,2,2,43200,7200,300,100,7200,100,0.1
57,normal_load,baseline,2,3,43200,7200,300,100,7200,100,0.1
58,normal_load,cockpit_only,2,3,43200,7200,300,100,7200,100,0.1
59,normal_load,nursta_only,2,3,43200,7200,300,100,7200,100,0.1
60,normal_load,both,2,3,43200,7200,300,100,7200,100,0.1
61,high_load_high_acuity,baseline,2,3,43200,7200,300,100,7200,100,0.1
62,high_load_high_acuity,cockpit_only,2,3,43200,7200,300,100,7200,100,0.1
63,high_load_high_acuity,nursta_only,2,3,43200,7200,300,100,7200,100,0.1
64,high_load_high_acuity,both,2,3,43200,7200,300,100,7200,100,0.1
65,normal_load,baseline,2,4,43200,7200,300,100,7200,100,0.1
66,normal_load,cockpit_only,2,4,43200,7200,300,100,7200,100,0.1
67,normal_load,nursta_only,2,4,43200,7200,300,100,7200,100,0.1
68,normal_load,both,2,4,43200,7200,300,100,7200,100,0.1
69,high_load_high_acuity,baseline,2,4,43200,7200,300,100,7200,100,0.1
70,high_load_high_acuity,cockpit_only,2,4,43200,7200,300,100,7200,100,0.1
71,high_load_high_acuity,nursta_only,2,4,43200,7200,300,100,7200,100,0.1
72,high_load_high_acuity,both,2,4,43200,7200,300,100,7200,100,0.1
73,normal_load,baseline,2,5,43200,7200,300,100,7200,100,0.1
74,normal_load,cockpit_only,2,5,43200,7200,300,100,7200,100,0.1
75,normal_load,nursta_only,2,5,43200,7200,300,100,7200,100,0.1
76,normal_load,both,2,5,43200,7200,300,100,7200,100,0.1
77,high_load_high_acuity,baseline,2,5,43200,7200,300,100,7200,100,0.1
78,high_load_high_acuity,cockpit_only,2,5,43200,7200,300,100,7200,100,0.1
79,high_load_high_acuity,nursta_only,2,5,43200,7200,300,100,7200,100,0.1
80,high_load_high_acuity,both,2,5,43200,7200,300,100,7200,100,0.1
81,normal_load,baseline,3,1,43200,7200,300,100,7200,100,0.1
82,normal_load,cockpit_only,3,1,43200,7200,300,100,7200,100,0.1
83,normal_load,nursta_only,3,1,43200,7200,300,100,7200,100,0.1
84,normal_load,both,3,1,43200,7200,300,100,7200,100,0.1
85,high_load_high_acuity,baseline,3,1,43200,7200,300,100,7200,100,0.1
86,high_load_high_acuity,cockpit_only,3,1,43200,7200,300,100,7200,100,0.1
87,high_load_high_acuity,nursta_only,3,1,43200,7200,300,100,7200,100,0.1
88,high_load_high_acuity,both,3,1,43200,7200,300,100,7200,100,0.1
89,normal_load,baseline,3,2,43200,7200,300,100,7200,100,0.1
90,normal_load,cockpit_only,3,2,43200,7200,300,100,7200,100,0.1
91,normal_load,nursta_only,3,2,43200,7200,300,100,7200,100,0.1
92,normal_load,both,3,2,43200,7200,300,100,7200,100,0.1
93,high_load_high_acuity,baseline,3,2,43200,7200,300,100,7200,100,0.1
94,high_load_high_acuity,cockpit_only,3,2,43200,7200,300,100,7200,100,0.1
95,high_load_high_acuity,nursta_only,3,2,43200,7200,300,100,7200,100,0.1
96,high_load_high_acuity,both,3,2,43200,7200,300,100,7200,100,0.1
97,normal_load,baseline,3,3,43200,7200,300,100,7200,100,0.1
98,normal_load,cockpit_only,3,3,43200,7200,300,100,7200,100,0.1
99,normal_load,nursta_only,3,3,43200,7200,300,100,7200,100,0.1
100,normal_load,both,3,3,43200,7200,300,100,7200,100,0.1
101,high_load_high_acuity,baseline,3,3,43200,7200,300,100,7200,100,0.1
102,high_load_high_acuity,cockpit_only,3,3,43200,7200,300,100,7200,100,0.1
103,high_load_high_acuity,nursta_only,3,3,43200,7200,300,100,7200,100,0.1
104,high_load_high_acuity,both,3,3,43200,7200,300,100,7200,100,0.1
105,normal_load,baseline,3,4,43200,7200,300,100,7200,100,0.1
106,normal_load,cockpit_only,3,4,43200,7200,300,100,7200,100,0.1
107,normal_load,nursta_only,3,4,43200,7200,300,100,7200,100,0.1
108,normal_load,both,3,4,43200,7200,300,100,7200,100,0.1
109,high_load_high_acuity,baseline,3,4,43200,7200,300,100,7200,100,0.1
110,high_load_high_acuity,cockpit_only,3,4,43200,7200,300,100,7200,100,0.1
111,high_load_high_acuity,nursta_only,3,4,43200,7200,300,100,7200,100,0.1
112,high_load_high_acuity,both,3,4,43200,7200,300,100,7200,100,0.1
113,normal_load,baseline,3,5,43200,7200,300,100,7200,100,0.1
114,normal_load,cockpit_only,3,5,43200,7200,300,100,7200,100,0.1
115,normal_load,nursta_only,3,5,43200,7200,300,100,7200,100,0.1
116,normal_load,both,3,5,43200,7200,300,100,7200,100,0.1
117,high_load_high_acuity,baseline,3,5,43200,7200,300,100,7200,100,0.1
118,high_load_high_acuity,cockpit_only,3,5,43200,7200,300,100,7200,100,0.1
119,high_load_high_acuity,nursta_only,3,5,43200,7200,300,100,7200,100,0.1
120,high_load_high_acuity,both,3,5,43200,7200,300,100,7200,100,0.1
121,normal_load,baseline,4,1,43200,7200,300,100,7200,100,0.1
122,normal_load,cockpit_only,4,1,43200,7200,300,100,7200,100,0.1
123,normal_load,nursta_only,4,1,43200,7200,300,100,7200,100,0.1
124,normal_load,both,4,1,43200,7200,300,100,7200,100,0.1
125,high_load_high_acuity,baseline,4,1,43200,7200,300,100,7200,100,0.1
126,high_load_high_acuity,cockpit_only,4,1,43200,7200,300,100,7200,100,0.1
127,high_load_high_acuity,nursta_only,4,1,43200,7200,300,100,7200,100,0.1
128,high_load_high_acuity,both,4,1,43200,7200,300,100,7200,100,0.1
129,normal_load,baseline,4,2,43200,7200,300,100,7200,100,0.1
130,normal_load,cockpit_only,4,2,43200,7200,300,100,7200,100,0.1
131,normal_load,nursta_only,4,2,43200,7200,300,100,7200,100,0.1
132,normal_load,both,4,2,43200,7200,300,100,7200,100,0.1
133,high_load_high_acuity,baseline,4,2,43200,7200,300,100,7200,100,0.1
134,high_load_high_acuity,cockpit_only,4,2,43200,7200,300,100,7200,100,0.1
135,high_load_high_acuity,nursta_only,4,2,43200,7200,300,100,7200,100,0.1
136,high_load_high_acuity,both,4,2,43200,7200,300,100,7200,100,0.1
137,normal_load,baseline,4,3,43200,7200,300,100,7200,100,0.1
138,normal_load,cockpit_only,4,3,43200,7200,300,100,7200,100,0.1
139,normal_load,nursta_only,4,3,43200,7200,300,100,7200,100,0.1
140,normal_load,both,4,3,43200,7200,300,100,7200,100,0.1
141,high_load_high_acuity,baseline,4,3,43200,7200,300,100,7200,100,0.1
142,high_load_high_acuity,cockpit_only,4,3,43200,7200,300,100,7200,100,0.1
143,high_load_high_acuity,nursta_only,4,3,43200,7200,300,100,7200,100,0.1
144,high_load_high_acuity,both,4,3,43200,7200,300,100,7200,100,0.1
145,normal_load,baseline,4,4,43200,7200,300,100,7200,100,0.1
146,normal_load,cockpit_only,4,4,43200,7200,300,100,7200,100,0.1
147,normal_load,nursta_only,4,4,43200,7200,300,100,7200,100,0.1
148,normal_load,both,4,4,43200,7200,300,100,7200,100,0.1
149,high_load_high_acuity,baseline,4,4,43200,7200,300,100,7200,100,0.1
150,high_load_high_acuity,cockpit_only,4,4,43200,7200,300,100,7200,100,0.1
151,high_load_high_acuity,nursta_only,4,4,43200,7200,300,100,7200,100,0.1
152,high_load_high_acuity,both,4,4,43200,7200,300,100,7200,100,0.1
153,normal_load,baseline,4,5,43200,7200,300,100,7200,100,0.1
154,normal_load,cockpit_only,4,5,43200,7200,300,100,7200,100,0.1
155,normal_load,nursta_only,4,5,43200,7200,300,100,7200,100,0.1
156,normal_load,both,4,5,43200,7200,300,100,7200,100,0.1
157,high_load_high_acuity,baseline,4,5,43200,7200,300,100,7200,100,0.1
158,high_load_high_acuity,cockpit_only,4,5,43200,7200,300,100,7200,100,0.1
159,high_load_high_acuity,nursta_only,4,5,43200,7200,300,100,7200,100,0.1
160,high_load_high_acuity,both,4,5,43200,7200,300,100,7200,100,0.1
161,normal_load,baseline,5,1,43200,7200,300,100,7200,100,0.1
162,normal_load,cockpit_only,5,1,43200,7200,300,100,7200,100,0.1
163,normal_load,nursta_only,5,1,43200,7200,300,100,7200,100,0.1
164,normal_load,both,5,1,43200,7200,300,100,7200,100,0.1
165,high_load_high_acuity,baseline,5,1,43200,7200,300,100,7200,100,0.1
166,high_load_high_acuity,cockpit_only,5,1,43200,7200,300,100,7200,100,0.1
167,high_load_high_acuity,nursta_only,5,1,43200,7200,300,100,7200,100,0.1
168,high_load_high_acuity,both,5,1,43200,7200,300,100,7200,100,0.1
169,normal_load,baseline,5,2,43200,7200,300,100,7200,100,0.1
170,normal_load,cockpit_only,5,2,43200,7200,300,100,7200,100,0.1
171,normal_load,nursta_only,5,2,43200,7200,300,100,7200,100,0.1
172,normal_load,both,5,2,43200,7200,300,100,7200,100,0.1
173,high_load_high_acuity,baseline,5,2,43200,7200,300,100,7200,100,0.1
174,high_load_high_acuity,cockpit_only,5,2,43200,7200,300,100,7200,100,0.1
175,high_load_high_acuity,nursta_only,5,2,43200,7200,300,100,7200,100,0.1
176,high_load_high_acuity,both,5,2,43200,7200,300,100,7200,100,0.1
177,normal_load,baseline,5,3,43200,7200,300,100,7200,100,0.1
178,normal_load,cockpit_only,5,3,43200,7200,300,100,7200,100,0.1
179,normal_load,nursta_only,5,3,43200,7200,300,100,7200,100,0.1
180,normal_load,both,5,3,43200,7200,300,100,7200,100,0.1
181,high_load_high_acuity,baseline,5,3,43200,7200,300,100,7200,100,0.1
182,high_load_high_acuity,cockpit_only,5,3,43200,7200,300,100,7200,100,0.1
183,high_load_high_acuity,nursta_only,5,3,43200,7200,300,100,7200,100,0.1
184,high_load_high_acuity,both,5,3,43200,7200,300,100,7200,100,0.1
185,normal_load,baseline,5,4,43200,7200,300,100,7200,100,0.1
186,normal_load,cockpit_only,5,4,43200,7200,300,100,7200,100,0.1
187,normal_load,nursta_only,5,4,43200,7200,300,100,7200,100,0.1
188,normal_load,both,5,4,43200,7200,300,100,7200,100,0.1
189,high_load_high_acuity,baseline,5,4,43200,7200,300,100,7200,100,0.1
190,high_load_high_acuity,cockpit_only,5,4,43200,7200,300,100,7200,100,0.1
191,high_load_high_acuity,nursta_only,5,4,43200,7200,300,100,7200,100,0.1
192,high_load_high_acuity,both,5,4,43200,7200,300,100,7200,100,0.1
193,normal_load,baseline,5,5,43200,7200,300,100,7200,100,0.1
194,normal_load,cockpit_only,5,5,43200,7200,300,100,7200,100,0.1
195,normal_load,nursta_only,5,5,43200,7200,300,100,7200,100,0.1
196,normal_load,both,5,5,43200,7200,300,100,7200,100,0.1
197,high_load_high_acuity,baseline,5,5,43200,7200,300,100,7200,100,0.1
198,high_load_high_acuity,cockpit_only,5,5,43200,7200,300,100,7200,100,0.1
199,high_load_high_acuity,nursta_only,5,5,43200,7200,300,100,7200,100,0.1
200,high_load_high_acuity,both,5,5,43200,7200,300,100,7200,100,0.1
201,normal_load,baseline,6,1,43200,7200,300,100,7200,100,0.1
202,normal_load,cockpit_only,6,1,43200,7200,300,100,7200,100,0.1
203,normal_load,nursta_only,6,1,43200,7200,300,100,7200,100,0.1
204,normal_load,both,6,1,43200,7200,300,100,7200,100,0.1
205,high_load_high_acuity,baseline,6,1,43200,7200,300,100,7200,100,0.1
206,high_load_high_acuity,cockpit_only,6,1,43200,7200,300,100,7200,100,0.1
207,high_load_high_acuity,nursta_only,6,1,43200,7200,300,100,7200,100,0.1
208,high_load_high_acuity,both,6,1,43200,7200,300,100,7200,100,0.1
209,normal_load,baseline,6,2,43200,7200,300,100,7200,100,0.1
210,normal_load,cockpit_only,6,2,43200,7200,300,100,7200,100,0.1
211,normal_load,nursta_only,6,2,43200,7200,300,100,7200,100,0.1
212,normal_load,both,6,2,43200,7200,300,100,7200,100,0.1
213,high_load_high_acuity,baseline,6,2,43200,7200,300,100,7200,100,0.1
214,high_load_high_acuity,cockpit_only,6,2,43200,7200,300,100,7200,100,0.1
215,high_load_high_acuity,nursta_only,6,2,43200,7200,300,100,7200,100,0.1
216,high_load_high_acuity,both,6,2,43200,7200,300,100,7200,100,0.1
217,normal_load,baseline,6,3,43200,7200,300,100,7200,100,0.1
218,normal_load,cockpit_only,6,3,43200,7200,300,100,7200,100,0.1
219,normal_load,nursta_only,6,3,43200,7200,300,100,7200,100,0.1
220,normal_load,both,6,3,43200,7200,300,100,7200,100,0.1
221,high_load_high_acuity,baseline,6,3,43200,7200,300,100,7200,100,0.1
222,high_load_high_acuity,cockpit_only,6,3,43200,7200,300,100,7200,100,0.1
223,high_load_high_acuity,nursta_only,6,3,43200,7200,300,100,7200,100,0.1
224,high_load_high_acuity,both,6,3,43200,7200,300,100,7200,100,0.1
225,normal_load,baseline,6,4,43200,7200,300,100,7200,100,0.1
226,normal_load,cockpit_only,6,4,43200,7200,300,100,7200,100,0.1
227,normal_load,nursta_only,6,4,43200,7200,300,100,7200,100,0.1
228,normal_load,both,6,4,43200,7200,300,100,7200,100,0.1
229,high_load_high_acuity,baseline,6,4,43200,7200,300,100,7200,100,0.1
230,high_load_high_acuity,cockpit_only,6,4,43200,7200,300,100,7200,100,0.1
231,high_load_high_acuity,nursta_only,6,4,43200,7200,300,100,7200,100,0.1
232,high_load_high_acuity,both,6,4,43200,7200,300,100,7200,100,0.1
233,normal_load,baseline,6,5,43200,7200,300,100,7200,100,0.1
234,normal_load,cockpit_only,6,5,43200,7200,300,100,7200,100,0.1
235,normal_load,nursta_only,6,5,43200,7200,300,100,7200,100,0.1
236,normal_load,both,6,5,43200,7200,300,100,7200,100,0.1
237,high_load_high_acuity,baseline,6,5,43200,7200,300,100,7200,100,0.1
238,high_load_high_acuity,cockpit_only,6,5,43200,7200,300,100,7200,100,0.1
239,high_load_high_acuity,nursta_only,6,5,43200,7200,300,100,7200,100,0.1
240,high_load_high_acuity,both,6,5,43200,7200,300,100,7200,100,0.1
241,normal_load,baseline,7,1,43200,7200,300,100,7200,100,0.1
242,normal_load,cockpit_only,7,1,43200,7200,300,100,7200,100,0.1
243,normal_load,nursta_only,7,1,43200,7200,300,100,7200,100,0.1
244,normal_load,both,7,1,43200,7200,300,100,7200,100,0.1
245,high_load_high_acuity,baseline,7,1,43200,7200,300,100,7200,100,0.1
246,high_load_high_acuity,cockpit_only,7,1,43200,7200,300,100,7200,100,0.1
247,high_load_high_acuity,nursta_only,7,1,43200,7200,300,100,7200,100,0.1
248,high_load_high_acuity,both,7,1,43200,7200,300,100,7200,100,0.1
249,normal_load,baseline,7,2,43200,7200,300,100,7200,100,0.1
250,normal_load,cockpit_only,7,2,43200,7200,300,100,7200,100,0.1
251,normal_load,nursta_only,7,2,43200,7200,300,100,7200,100,0.1
252,normal_load,both,7,2,43200,7200,300,100,7200,100,0.1
253,high_load_high_acuity,baseline,7,2,43200,7200,300,100,7200,100,0.1
254,high_load_high_acuity,cockpit_only,7,2,43200,7200,300,100,7200,100,0.1
255,high_load_high_acuity,nursta_only,7,2,43200,7200,300,100,7200,100,0.1
256,high_load_high_acuity,both,7,2,43200,7200,300,100,7200,100,0.1
257,normal_load,baseline,7,3,43200,7200,300,100,7200,100,0.1
258,normal_load,cockpit_only,7,3,43200,7200,300,100,7200,100,0.1
259,normal_load,nursta_only,7,3,43200,7200,300,100,7200,100,0.1
260,normal_load,both,7,3,43200,7200,300,100,7200,100,0.1
261,high_load_high_acuity,baseline,7,3,43200,7200,300,100,7200,100,0.1
262,high_load_high_acuity,cockpit_only,7,3,43200,7200,300,100,7200,100,0.1
263,high_load_high_acuity,nursta_only,7,3,43200,7200,300,100,7200,100,0.1
264,high_load_high_acuity,both,7,3,43200,7200,300,100,7200,100,0.1
265,normal_load,baseline,7,4,43200,7200,300,100,7200,100,0.1
266,normal_load,cockpit_only,7,4,43200,7200,300,100,7200,100,0.1
267,normal_load,nursta_only,7,4,43200,7200,300,100,7200,100,0.1
268,normal_load,both,7,4,43200,7200,300,100,7200,100,0.1
269,high_load_high_acuity,baseline,7,4,43200,7200,300,100,7200,100,0.1
270,high_load_high_acuity,cockpit_only,7,4,43200,7200,300,100,7200,100,0.1
271,high_load_high_acuity,nursta_only,7,4,43200,7200,300,100,7200,100,0.1
272,high_load_high_acuity,both,7,4,43200,7200,300,100,7200,100,0.1
273,normal_load,baseline,7,5,43200,7200,300,100,7200,100,0.1
274,normal_load,cockpit_only,7,5,43200,7200,300,100,7200,100,0.1
275,normal_load,nursta_only,7,5,43200,7200,300,100,7200,100,0.1
276,normal_load,both,7,5,43200,7200,300,100,7200,100,0.1
277,high_load_high_acuity,baseline,7,5,43200,7200,300,100,7200,100,0.1
278,high_load_high_acuity,cockpit_only,7,5,43200,7200,300,100,7200,100,0.1
279,high_load_high_acuity,nursta_only,7,5,43200,7200,300,100,7200,100,0.1
280,high_load_high_acuity,both,7,5,43200,7200,300,100,7200,100,0.1
281,normal_load,baseline,8,1,43200,7200,300,100,7200,100,0.1
282,normal_load,cockpit_only,8,1,43200,7200,300,100,7200,100,0.1
283,normal_load,nursta_only,8,1,43200,7200,300,100,7200,100,0.1
284,normal_load,both,8,1,43200,7200,300,100,7200,100,0.1
285,high_load_high_acuity,baseline,8,1,43200,7200,300,100,7200,100,0.1
286,high_load_high_acuity,cockpit_only,8,1,43200,7200,300,100,7200,100,0.1
287,high_load_high_acuity,nursta_only,8,1,43200,7200,300,100,7200,100,0.1
288,high_load_high_acuity,both,8,1,43200,7200,300,100,7200,100,0.1
289,normal_load,baseline,8,2,43200,7200,300,100,7200,100,0.1
290,normal_load,cockpit_only,8,2,43200,7200,300,100,7200,100,0.1
291,normal_load,nursta_only,8,2,43200,7200,300,100,7200,100,0.1
292,normal_load,both,8,2,43200,7200,300,100,7200,100,0.1
293,high_load_high_acuity,baseline,8,2,43200,7200,300,100,7200,100,0.1
294,high_load_high_acuity,cockpit_only,8,2,43200,7200,300,100,7200,100,0.1
295,high_load_high_acuity,nursta_only,8,2,43200,7200,300,100,7200,100,0.1
296,high_load_high_acuity,both,8,2,43200,7200,300,100,7200,100,0.1
297,normal_load,baseline,8,3,43200,7200,300,100,7200,100,0.1
298,normal_load,cockpit_only,8,3,43200,7200,300,100,7200,100,0.1
299,normal_load,nursta_only,8,3,43200,7200,300,100,7200,100,0.1
300,normal_load,both,8,3,43200,7200,300,100,7200,100,0.1
301,high_load_high_acuity,baseline,8,3,43200,7200,300,100,7200,100,0.1
302,high_load_high_acuity,cockpit_only,8,3,43200,7200,300,100,7200,100,0.1
303,high_load_high_acuity,nursta_only,8,3,43200,7200,300,100,7200,100,0.1
304,high_load_high_acuity,both,8,3,43200,7200,300,100,7200,100,0.1
305,normal_load,baseline,8,4,43200,7200,300,100,7200,100,0.1
306,normal_load,cockpit_only,8,4,43200,7200,300,100,7200,100,0.1
307,normal_load,nursta_only,8,4,43200,7200,300,100,7200,100,0.1
308,normal_load,both,8,4,43200,7200,300,100,7200,100,0.1
309,high_load_high_acuity,baseline,8,4,43200,7200,300,100,7200,100,0.1
310,high_load_high_acuity,cockpit_only,8,4,43200,7200,300,100,7200,100,0.1
311,high_load_high_acuity,nursta_only,8,4,43200,7200,300,100,7200,100,0.1
312,high_load_high_acuity,both,8,4,43200,7200,300,100,7200,100,0.1
313,normal_load,baseline,8,5,43200,7200,300,100,7200,100,0.1
314,normal_load,cockpit_only,8,5,43200,7200,300,100,7200,100,0.1
315,normal_load,nursta_only,8,5,43200,7200,300,100,7200,100,0.1
316,normal_load,both,8,5,43200,7200,300,100,7200,100,0.1
317,high_load_high_acuity,baseline,8,5,43200,7200,300,100,7200,100,0.1
318,high_load_high_acuity,cockpit_only,8,5,43200,7200,300,100,7200,100,0.1
319,high_load_high_acuity,nursta_only,8,5,43200,7200,300,100,7200,100,0.1
320,high_load_high_acuity,both,8,5,43200,7200,300,100,7200,100,0.1
321,normal_load,baseline,9,1,43200,7200,300,100,7200,100,0.1
322,normal_load,cockpit_only,9,1,43200,7200,300,100,7200,100,0.1
323,normal_load,nursta_only,9,1,43200,7200,300,100,7200,100,0.1
324,normal_load,both,9,1,43200,7200,300,100,7200,100,0.1
325,high_load_high_acuity,baseline,9,1,43200,7200,300,100,7200,100,0.1
326,high_load_high_acuity,cockpit_only,9,1,43200,7200,300,100,7200,100,0.1
327,high_load_high_acuity,nursta_only,9,1,43200,7200,300,100,7200,100,0.1
328,high_load_high_acuity,both,9,1,43200,7200,300,100,7200,100,0.1
329,normal_load,baseline,9,2,43200,7200,300,100,7200,100,0.1
330,normal_load,cockpit_only,9,2,43200,7200,300,100,7200,100,0.1
331,normal_load,nursta_only,9,2,43200,7200,300,100,7200,100,0.1
332,normal_load,both,9,2,43200,7200,300,100,7200,100,0.1
333,high_load_high_acuity,baseline,9,2,43200,7200,300,100,7200,100,0.1
334,high_load_high_acuity,cockpit_only,9,2,43200,7200,300,100,7200,100,0.1
335,high_load_high_acuity,nursta_only,9,2,43200,7200,300,100,7200,100,0.1
336,high_load_high_acuity,both,9,2,43200,7200,300,100,7200,100,0.1
337,normal_load,baseline,9,3,43200,7200,300,100,7200,100,0.1
338,normal_load,cockpit_only,9,3,43200,7200,300,100,7200,100,0.1
339,normal_load,nursta_only,9,3,43200,7200,300,100,7200,100,0.1
340,normal_load,both,9,3,43200,7200,300,100,7200,100,0.1
341,high_load_high_acuity,baseline,9,3,43200,7200,300,100,7200,100,0.1
342,high_load_high_acuity,cockpit_only,9,3,43200,7200,300,100,7200,100,0.1
343,high_load_high_acuity,nursta_only,9,3,43200,7200,300,100,7200,100,0.1
344,high_load_high_acuity,both,9,3,43200,7200,300,100,7200,100,0.1
345,normal_load,baseline,9,4,43200,7200,300,100,7200,100,0.1
346,normal_load,cockpit_only,9,4,43200,7200,300,100,7200,100,0.1
347,normal_load,nursta_only,9,4,43200,7200,300,100,7200,100,0.1
348,normal_load,both,9,4,43200,7200,300,100,7200,100,0.1
349,high_load_high_acuity,baseline,9,4,43200,7200,300,100,7200,100,0.1
350,high_load_high_acuity,cockpit_only,9,4,43200,7200,300,100,7200,100,0.1
351,high_load_high_acuity,nursta_only,9,4,43200,7200,300,100,7200,100,0.1
352,high_load_high_acuity,both,9,4,43200,7200,300,100,7200,100,0.1
353,normal_load,baseline,9,5,43200,7200,300,100,7200,100,0.1
354,normal_load,cockpit_only,9,5,43200,7200,300,100,7200,100,0.1
355,normal_load,nursta_only,9,5,43200,7200,300,100,7200,100,0.1
356,normal_load,both,9,5,43200,7200,300,100,7200,100,0.1
357,high_load_high_acuity,baseline,9,5,43200,7200,300,100,7200,100,0.1
358,high_load_high_acuity,cockpit_only,9,5,43200,7200,300,100,7200,100,0.1
359,high_load_high_acuity,nursta_only,9,5,43200,7200,300,100,7200,100,0.1
360,high_load_high_acuity,both,9,5,43200,7200,300,100,7200,100,0.1
361,normal_load,baseline,10,1,43200,7200,300,100,7200,100,0.1
362,normal_load,cockpit_only,10,1,43200,7200,300,100,7200,100,0.1
363,normal_load,nursta_only,10,1,43200,7200,300,100,7200,100,0.1
364,normal_load,both,10,1,43200,7200,300,100,7200,100,0.1
365,high_load_high_acuity,baseline,10,1,43200,7200,300,100,7200,100,0.1
366,high_load_high_acuity,cockpit_only,10,1,43200,7200,300,100,7200,100,0.1
367,high_load_high_acuity,nursta_only,10,1,43200,7200,300,100,7200,100,0.1
368,high_load_high_acuity,both,10,1,43200,7200,300,100,7200,100,0.1
369,normal_load,baseline,10,2,43200,7200,300,100,7200,100,0.1
370,normal_load,cockpit_only,10,2,43200,7200,300,100,7200,100,0.1
371,normal_load,nursta_only,10,2,43200,7200,300,100,7200,100,0.1
